name,summary,top_quote
Caleb Williams,"Mixed / trap: dazzling arm talent and YoY improvement, but inconsistent production - the board flags him a trap (prefers Parker Washington).",My honest-to-goodness evaluation of Caleb Williams: He improved dramatically YoY and made the playoffs last year. But ob
Cam Skattebo,Bearish lean: fibula-fracture recovery (effectiveness historically drops) into a contested NYG backfield; the bull case is pure Roman-scheme volume.,A recent history of fibula fractures for NFL skill players We've seen them return quickly. But effectiveness falls off a
Carnell Tate,"Bullish rookie WR: a strong projection (~219 PPR, 86 catches) points to a featured role; rookie variance and the offense are the caps.",7 early Fantasy Football takes/questions after firing off some best ball drafts: - Who is taking Chuba Hubbard in the 6t
CeeDee Lamb,Bullish: alpha WR1 with elite route-share FPG and YPRR; volume and target share locked - the risk is only Dak's health and the DAL run/pass split.,"Since 2022, Jaylen Waddle's 2.44 YPRR ranks 8th-best among all WRs who ran 1200+ routes over that span. He did it on jus"
Chig Okonkwo,Bullish late dart: a popular cheap TE breakout pick with athletic upside; the ceiling rides a target bump.,New Market Monday went up yesterday. I discussed whether I’m buying or selling the new prices on: * Malik Nabers * Rashe
Chris Brooks,Speculative: a GB depth back with coach praise - a deep dart.,"On Josh Jacobs: * Under the Personal Conduct Policy, the NFL will conduct its own investigation * The NFL can suspend a "
Chris Godwin Jr.,"Mixed: a proven slot producer and W17 stack piece, but a fibula-fracture recovery (effectiveness historically drops) is the overhang.",A recent history of fibula fractures for NFL skill players We've seen them return quickly. But effectiveness falls off a
Chris Olave,"Mixed-bullish: elite route-running/TPRR with bounce-back upside in a multi-TE NO scheme, but a league-high drops total and shaky QB play are the flags.",
Chris Rodriguez Jr.,Mixed: an early-down/short-yardage JAX back - touchdown-dependent with no passing-down role.,"Chris Rodriguez (left foot surgery) expected back for start of training camp. Still, another flag in his profile: * Proj"
Christian McCaffrey,"Mixed-bullish: elite RB1 usage in a great scheme when healthy, but age-30 off a huge workload with Shanahan signaling a lighter load - durability is the risk.","Kyle Shanahan on Christian McCaffrey after insane 2025 workload: ""I want him to have more juice. I want him to be freshe"
Christian Watson,"Quietly bullish: best season once healthy, improved route distribution, contract bet on a breakout — health is the only gate.","In 10 games last season after returning from injury, Christian Watson caught 35 of 55 targets for 611 yards and six touc"
Chuba Hubbard,"Mixed: projected early workhorse touches in CAR, but a healthy Jonathon Brooks looms to take over and his YPC is volatile.",7 early Fantasy Football takes/questions after firing off some best ball drafts: - Who is taking Chuba Hubbard in the 6t
Colston Loveland,Bullish rookie TE: elite first-read efficiency in limited 2025 looks; ceiling rises if Burden/Odunze pull coverage. The CHI passing-tree swing piece.,"TE first downs per target [min. 65 tgts, 2025] 1. George Kittle - .57 2. Hunter Henry - .50 3. Kyle Pitts - .44 4. Colst"
Davante Adams,"Age / role-decline flag; per-reception production still elite, but the model fades the volume outlook.",
De'Von Achane,"Bullish: the most explosive RB in football (league-best YPC after contact) with PPR receiving; the cap is a thin frame, the MIA environment and goal-line share.","Highest % of rushing yards coming on explosive plays (15+ yards) [min. 350 attempts, past three seasons] 1. De'Von Achan"
DeVonta Smith,"Bullish: strong EPA-per-target profile and a vacated-target bump with A.J. Brown gone — popular darkhorse WR1 case, though the vacated-target narrative draws some skepticism.",WR Leaders in EPA per Target [Last 2 Seasons] + @FantasyPtsData 1. Jalen Coker (0.728) [$8.8M APY] 👃⛷️ 2. Alec Pierce (0
Drake London,Bullish: a high-volume YPRR target monster and ascending WR1; the only drag is the ATL offense/QB ceiling.,
George Kittle,"Bullish-with-risk: still one of the most efficient TEs (elite first-down rate/YPRR), but an Achilles flag and age cloud a high ceiling.","TE first downs per target [min. 65 tgts, 2025] 1. George Kittle - .57 2. Hunter Henry - .50 3. Kyle Pitts - .44 4. Colst"
Harold Fannin Jr.,Bullish sleeper TE: flashed an elite TE1 workload without Njoku and draws rave film reviews; the cap is sharing targets with Njoku when healthy.,"Harold Fannin had the most yards by a rookie TE picked after #34 in NFL history. In 5 games without David Njoku, he had "
Isiah Pacheco,Mixed: a physical committee back with a fibula-recovery flag - contingency value with a capped workload.,A recent history of fibula fractures for NFL skill players We've seen them return quickly. But effectiveness falls off a
J.J. McCarthy,"mixed (2↑/1↓, 3 src): targets/volume, breakout/ceiling.",Least accurate QBs when targeting an open receiver 10+ yards downfield [2025] 1. Michael Penix (45.7% accurate throw rat
Ja'Marr Chase,Bullish: the overall WR1 - leads all receivers in FPG at high route share with elite career target rate; only risk is Burrow/CIN health.,Most designed targets in 2025 t-1. Deebo Samuel - 30* t-1. Bijan Robinson - 30* t-3. Trey McBride - 26* t-3. Rashee Rice
Jahmyr Gibbs,Bullish: elite efficiency (top-2 YPC after contact) with a bellcow workload expected per high-reliability Lions coachspeak; only cap is ceding early-down work to Montgomery.,"Highest % of rushing yards coming on explosive plays (15+ yards) [min. 350 attempts, past three seasons] 1. De'Von Achan"
Jalen Hurts,"Bullish on the rushing floor: elite goal-line and deep usage with a dual-threat profile, though some sharp takes call him overpriced at ADP.",Most Fantasy Points per Start on Designed Runs 1. Jaxson Dart (5.1)** 2. Josh Allen (5.0) 3. Justin Fields (3.5) 4. Jale
Jaxon Smith-Njigba,Bullish: ascending YPRR standout and target hog in Seattle with a clear WR1 ceiling; the only question is the QB/offense around him.,"One of @ScottBarrettDFB's favorite WR stats is: ""depth-adjusted yards per target over expectation"". YPT, but fixing aDOT"
Jaxson Dart,Bullish: the playbook's max-conviction QB - an efficient young dual-threat with rising hype; the cap is a developing NYG supporting cast.,"Lowest % of dropbacks targeting an ""open"" receiver (not just a step, not a busted coverage) Dak Prescott - 39.9% Brock P"
Jayden Daniels,Bullish dual-threat QB; the rushing floor is the draw and the reason he clears the QB tier.,"Lot of good things happening around Terry McLaurin: 1. #Commanders shifting to significantly more 2-TE sets, benefitting"
Jaylen Waddle,Mild bullish: heavy target share in multi-RB sets; ceiling tied to the DEN passing environment.,Most targets on plays with multiple RBs/FBs on the field (among WRs): Jaylen Waddle - 37 Jauan Jennings - 24 Jaxon Smith
Jaylen Warren,"Mixed: a committee back in PIT (split with Dowdle, near-equal time) - efficient, but capped touches limit the ceiling.",
Jonathon Brooks,"Bullish-volatile: real buzz he becomes the CAR lead over Hubbard if healthy, but he is coming off a major injury - a high-upside dart.",New Market Monday is up. I discuss whether I'm buying or selling the new prices on: * AJ Brown * Jonathon Brooks * Tank 
Jordyn Tyson,"Mixed rookie WR: an intriguing talent/dynasty profile, but a lingering hamstring and rookie uncertainty cap the near-term outlook.",7 early Fantasy Football takes/questions after firing off some best ball drafts: - Who is taking Chuba Hubbard in the 6t
Josh Allen,"Bullish: perennial top-EPA, top-FP/dropback QB with elite rushing and red-zone usage - a QB1 anchor; the only knock is the premium price.",Just finished rewatching the 2025 Chicago Bears season. Insane upside for this group. Every part of the field is unlocke
Josh Jacobs,Fresh red flag — arrested and booked at OTAs; rankers downgrading on conduct/suspension risk despite the bell-cow workload.,
Keaton Mitchell,Speculative: an explosive change-of-pace back with contingency upside - a late dart that needs an injury to matter.,Huge contingent value if Keaton Mitchell misses time
Kenneth Gainwell,Mixed contingency: rising on Bucky Irving injury buzz into a TB passing-down role; a dart whose value spikes mainly if Irving misses time.,"Everything the #Bucs have said about their RB room this offseason, pulled from the Coachspeak Index Discord, and present"
Kyle Pitts Sr.,"Mixed-bullish: flashes elite TE spike weeks and efficiency, but career inconsistency and scheme/QB dependence keep it boom-or-bust.","TE first downs per target [min. 65 tgts, 2025] 1. George Kittle - .57 2. Hunter Henry - .50 3. Kyle Pitts - .44 4. Colst"
Ladd McConkey,Bullish: a popular pick to follow the JSN Year-3 breakout path; strong target profile in multi-RB sets.,Ladd McConkey is Ryan Heath's favorite bet to follow Jaxon Smith-Njigba's Year 3 breakout 🥇 Here's how their Year 1 and 
Luther Burden III,Bullish breakout buzz (10 sources): elite first-read passer rating in limited looks; the CHI WR pecking order is the variable.,7 early Fantasy Football takes/questions after firing off some best ball drafts: - Who is taking Chuba Hubbard in the 6t
Makai Lemon,Bullish rookie sleeper: elite college target-share/YPRR profile and a vacated-target bump in PHI after the A.J. Brown trade; rookie role uncertainty is the cap.,Very interesting thread from @EthanGilworth comparing Jordyn Tyson and Makai Lemon. I’ve been ranking Tyson higher for d
Malik Nabers,"WR1-level talent (tied for WR1 in expected points since 2024) but health-gated — reportedly out until ~October, which caps the early-season grind.",the Year Two WRs let you down last season 🫣 Brian Thomas. Ladd McConkey. Malik Nabers so we talked through this year's g
Michael Penix Jr.,Bearish-lean: a strong-armed but inaccurate young ATL passer - an upside dart with a low floor.,Least accurate QBs when targeting an open receiver 10+ yards downfield [2025] 1. Michael Penix (45.7% accurate throw rat
Michael Wilson,"Mixed: bull case is a Puka-like ARI role plus the playbook's core-conviction/contingency tag, but he was an afterthought when MHJ was healthy - usage-dependent.","Making the math work on Trey McBride, Marvin Harrison, and Michael Wilson with Jeremiyah Love in town and Jacoby Brisset"
Nico Collins,"Bullish: an underrated, genuinely elite WR (top-tier separation/route-running) and the clear HOU alpha; the only cap is QB/offense volatility.","It's usually stupid to call someone of this caliber underrated, but Nico Collins might be the most underrated legitimate"
Parker Washington,Bullish breakout sleeper: standout camp buzz and positive Coen-era JAX coachspeak with a rising price - a strong late value the playbook flags as a window-winner.,Everything the #Jaguars have said about Parker Washington since Liam Coen became head coach — pulled from the Coachspeak
Patrick Mahomes,"Mixed: an elite ceiling but rehabbing a December ACL off a down, less-accurate season - a discounted bet with rust risk.",Just finished rewatching the 2025 Chicago Bears season. Insane upside for this group. Every part of the field is unlocke
Puka Nacua,Bullish: the most efficient WR in football by YPRR across every personnel grouping; target monster - knocks are a games-played history and the playbook's off-field flag.,"Since 2022, Jaylen Waddle's 2.44 YPRR ranks 8th-best among all WRs who ran 1200+ routes over that span. He did it on jus"
Quinshon Judkins,Bearish: dislocated ankle + fractured fibula (Dec '25) with a real recovery overhang on the role.,A recent history of fibula fractures for NFL skill players We've seen them return quickly. But effectiveness falls off a
RJ Harvey,"Bullish dart: smash upside at his late ADP if he repeats his rookie form, but Sean Payton's committee (Dobbins/Coleman) and carry caps are the risk.",New Market Monday is up. I discuss whether I'm buying or selling the new prices on: * AJ Brown * Jonathon Brooks * Tank 
Rachaad White,Mixed: a pass-catching committee back (WAS) with a PPR floor but little standalone ceiling.,If you’re a best ball bro who’s not into *either* of Rachaad White or JCM what’s your reasoning? I’m currently sitting o
Rashee Rice,"Split take: elite usage (top designed-target rate) but serving jail time with a murky return — sharp money treats him as a discount-only talent bet, not a target.",So Rashee Rice had to eventually serve 30 days in jail as part of his plea agreement for the street racing where he near
Rome Odunze,"Mixed-bullish: excellent route-winner (elite success vs man and zone) with breakout upside, but a foot injury and drops are the flags.",A guide for reacting to the latest Rome Odunze (foot) comments: 1. If you are a Luther Burden truther (me): Be sure you 
Sam LaPorta,Bullish bounce-back TE in a strong DET offense; also completes the CHI@DET anchor as a DET piece.,Sam LaPorta (back surgery) participated in Lions OTAs. We do not have any injury docks on him in ranks. Targets per rout
Stefon Diggs,"Mixed: a savvy, cheap veteran target earner (NE), but age and injury recovery cap the ceiling - decent floor value.","One of @ScottBarrettDFB's favorite WR stats is: ""depth-adjusted yards per target over expectation"". YPT, but fixing aDOT"
Terry McLaurin,"Mixed: still elite by EPA/target and out-wide YPRR, but age and an uncertain WAS target tree temper the outlook.",WR Leaders in EPA per Target [Last 2 Seasons] + @FantasyPtsData 1. Jalen Coker (0.728) [$8.8M APY] 👃⛷️ 2. Alec Pierce (0
Tetairoa McMillan,Talented young WR with WR14-ish upside but QB-capped — Bryce Young's accuracy and a foot-history flag temper it.,Tetairoa McMillan is already one of the best WRs in football The problem is his QB is awful Bryce Young cleared 207 pass
Trey McBride,Bullish: the tier-of-one TE - leads TEs in red-zone expected points and best-ball playoff spike weeks with elite designed-target volume; ARI's offense is the only cap.,Most designed targets in 2025 t-1. Deebo Samuel - 30* t-1. Bijan Robinson - 30* t-3. Trey McBride - 26* t-3. Rashee Rice
Tucker Kraft,Bullish-volatile: a high-risk/high-reward TE with a real TE1 ceiling if the GB passing game clicks; knee/role and QB are the swing factors.,"Tucker Kraft TE1 finish? 👀 High-risk, high-reward tight ends with elite TE1 ceiling https://t.co/ez1zEu0s6X"
Tyler Shough,Bullish sleeper QB: a buzzy Kellen Moore fit in NO with a real running game - a cheap late dart with starter upside.,It's 'Year Two Breakouts' Week 😤 kicking things off with QUARTERBACKS - a fascinating group because I can envision any o
Xavier Worthy,Mixed: an explosive KC field-stretcher with WR1 upside if the hierarchy breaks his way; boom-or-bust on volume.,"If you are a Xavier Worthy bull, it's been a good couple months. Not going to put a lot of stock in non-contact June wor"
Zachariah Branch,Speculative rookie WR dart - upside flashes (ATL).,“Falcons third-round rookie receiver Zachariah Branch had a strong day fresh off his trip to Los Angeles for the NFLPA r
Zay Flowers,"Efficient, high-target WR holding value at the 3/4 turn; consensus has him as one of the better real-life WRs at the price.",Most targets on plays with multiple RBs/FBs on the field (among WRs): Jaylen Waddle - 37 Jauan Jennings - 24 Jaxon Smith
Emeka Egbuka,Bullish: clear runway to a WR1 role in TB with Evans gone; catchable-target rate the one knock. Core-conviction stack piece.,
Tee Higgins,Bullish on volume in a high-powered CIN passing game; ceiling capped only by sharing targets with Chase.,
Javonte Williams,"Lead-back opportunity in DAL; the win-Δ likes him as an RB-need filler, but efficiency/role questions keep the ceiling modest.",
Bhayshul Tuten,"Trap flag — real camp buzz, but the board says Rome Odunze is +15 ranks at the same cost.",
Matthew Stafford,"Pure pocket passer in a high-powered LAR offense — strong volume/ceiling when healthy, but age and back history are the flags and there's no rushing floor for this build.",
Jared Goff,"Stable, accurate pocket passer in an elite DET offense (great supporting cast) — high floor, but zero rushing means a capped ceiling in a build that prizes dual-threat QBs.",
Jonathan Taylor,"Bullish: workhorse with strong red-zone and explosive-run profile and a huge share of team yardage; volume-secure RB1, capped only by the IND passing game.",
Justin Jefferson,"Bullish: top-3 WR on every efficiency metric (YPRR, separation, TPRR), elite regardless of QB; the only drag is unsettled Vikings quarterback play.",
James Cook III,"Mixed: elite per-snap scorer with a juicy W17 matchup (MIA) and TD upside, but a contract absence and Frank Gore Jr. depth-chart noise are the flags.",
Saquon Barkley,"Bullish: explosive, high-volume back in a dominant PHI offense that plays with leads - RB1 floor and ceiling; only age/workload regression is the watch.",
Kenneth Walker III,"Bullish on talent (RB5 in explosive plays, a better receiver than billed), but a KC team-change and committee question cap the projection.",
Omarion Hampton,"Bearish-lean: explosive rookie talent, but sharp takes call him a fade at ADP - a likely committee (LAC adding a vet back) caps the Year-1 role.",
Chase Brown,"Mixed: league-winner upside as the lead in a high-powered CIN offense, but a real fade case - the 2024 60/40 split with Perine is the bear flag.",
Derrick Henry,"Bullish on volume/TDs: still an explosive, red-zone-dominant rushing-TD machine; the flags are age and a zero-receiving floor per the playbook.",
George Pickens,Bullish: a popular WR value who pairs with Lamb in a high-volume DAL passing game (a top WR1/WR2 duo); ceiling capped by target competition and his own consistency.,
Jeremiyah Love,Bullish rookie RB: strong projections (PFF ~254 PPR) and a featured ARI role; the cap is the ARI offense/QB and a crowded target tree.,
Kyren Williams,Bullish value: back-to-back RB1 seasons still priced as an RB2; the bear case is TD regression and rookie Kaytron Allen eating into the role.,
Travis Etienne Jr.,Bearish / trap: faded badly down the stretch (5.0 to 3.6 YPC) and the board prefers Kyren by +20 ranks - avoid at cost.,
Garrett Wilson,Bullish: elite separation and target rate with a real QB upgrade (Fields to Geno) lifting the NYJ passing game - a strong WR1/WR2 value.,
DJ Moore,Bearish: sharp takes say he has declined (poor ~1.53 YPRR even in 2024); a name-value fade in a crowded CHI room.,
Jameson Williams,"Mixed-bullish: explosive DET field-stretcher and a popular R3 best-ball target, but drops/consistency are the persistent question.",
David Montgomery,"Mixed: valuable early-down/goal-line role (it caps Gibbs when he plays), but touchdown-dependent in a split backfield - fine at price, limited ceiling.",
Lamar Jackson,Bullish: elite dual-threat QB1 - top FP/dropback with rushing and deep-ball production; about as safe as a high-ceiling QB gets.,
Mike Evans,"Mixed: still an elite separator and red-zone producer, but age (per the playbook) and a move to a new SF target tree cap the projection.",
D'Andre Swift,"Mixed: boom-or-bust profile in a rising CHI offense; usable for spikes, but the floor and committee risk are real.",
Joe Burrow,Bullish: the most accurate passer in football leading a pass-heavy CIN attack - an elite QB ceiling; health is the only real risk.,
TreVeyon Henderson,"Mixed: efficient, explosive rookie, but heavily lead/script-dependent in a NE committee - the ceiling needs his passing-down role to grow.",
Jadarian Price,"Speculative: climbing the SEA RB depth with full-drive reps, but stuck behind Holani with a thin standalone case - a late dart, not a target.",
Tyler Warren,Bullish sleeper TE: athletic with a strong YAC profile in a loaded second-year TE class; an ascending IND target whose ceiling rides the offense/QB.,
Drake Maye,"Bullish: elite efficiency (top-3 EPA/dropback, historic CPOE) entering a Year-3 leap with rushing upside; the cap is the NE supporting cast.",
Marvin Harrison Jr.,"Mixed: elite pedigree and a Year-3 leap case in ARI, but drops and separation/role questions keep it from a clean buy.",
Brian Thomas Jr.,"Mixed-bullish: elite speed and a bounce-back case after a down Year-2, but cautiously hyped - the JAX offense and consistency are the questions.",
Alec Pierce,"Bullish value: elite EPA-per-route/target efficiency and analysts call his WR34 ADP too low - a deep-ball sleeper, though target volume is the risk.",
DK Metcalf,"Mixed: a big-bodied alpha in a McCarthy 3-WR scheme (PIT), but QB play and target consistency cap the ceiling - a fine mid-round WR.",
Rhamondre Stevenson,"Mixed: the back McDaniels may trust most early (pass-pro/short yardage) over Henderson, but efficiency and a committee cap the upside.",
Dak Prescott,"Bullish-lean: an accurate, high-floor passer in a strong DAL passing game (Lamb/Pickens); no rushing means a capped ceiling for this build.",
Tony Pollard,"Mixed: the clear early-down starter in TEN, but a low-ceiling committee in a weak offense - volume-based RB3 value.",
Justin Herbert,"Mixed / trap: a big arm with sneaky scramble rushing, but the board flags him a trap (prefers Michael Wilson at cost) - a fine but unexciting QB.",
Courtland Sutton,Mixed: a target-share-dependent WR in DEN who trails comps like Waddle in efficiency - usable but a capped WR3 profile.,
Trevor Lawrence,Bullish-lean: a strong deep-ball passer who flashed QB2 FPG stretches; a sneaky value if the Coen JAX offense clicks - consistency is the risk.,
Jayden Reed,Mixed: explosive but undersized GB slot with boom weeks; a crowded target tree and inconsistency cap him to a dart.,
Quentin Johnston,"Mixed: ascending LAC WR in a buzzy Herbert/McDaniel offense, but inconsistent hands and role keep him a volatile WR3.",
Rico Dowdle,"Mixed: a committee back in PIT (the lightning to Warren's thunder) - efficient, but capped touches limit the ceiling.",
Kyle Monangai,Bullish sleeper RB: trending up (~50% of the CHI backfield late) with sharp buzz to beat his ADP; a committee/role risk remains.,
Jordan Addison,"Mixed: a talented MIN WR2 with efficiency, but target competition (JJ) and a drops flag cap him to a WR3/4 value.",
Michael Pittman Jr.,Mixed: a high-target possession WR in a McCarthy 3-WR scheme (PIT); volume-based value with a ceiling capped by iffy QB play.,
Blake Corum,"Mixed / trap: a productive-with-a-lead LAR back and Kyren handcuff with breakout buzz, but the board flags him a trap (prefers Dart at cost).",
Jakobi Meyers,"Mixed / trap: a steady target hog central to JAX's passing, but the board flags him a trap (prefers Dart) - high floor, low ceiling.",
Josh Downs,Bullish sleeper: elite target-rate efficiency with a role set to expand after IND's WR departures; QB play is the only cap.,
Wan'Dale Robinson,"Mixed: elite reception volume (90+ catches twice) but a small-bodied, low-aDOT profile caps spike weeks - PPR floor over ceiling.",
Ricky Pearsall,"Mixed: an ascending SF WR with contingency upside, but missed OTA time and a crowded target tree temper him.",
Kyler Murray,"Mixed: dual-threat upside if he wins the MIN job (the Jefferson-build insurance per the playbook), but the starting role isn't locked - a conditional dart.",
J.K. Dobbins,"Mixed: looked healthy again and could lead the DEN backfield, but Sean Payton's committee (Harvey/Coleman) caps the workload.",
Jordan Love,"Mixed: a clean deep-ball passer with a good pocket, but a middling rushing floor and some overpriced takes cap the QB upside.",
Bo Nix,"Mixed / trap: a steady DEN passer, but limited rushing and the board flags him a trap (prefers Murray) - capped QB upside.",
Dalton Kincaid,"Mixed / trap: efficient when on the field, but injury-prone and route-share-limited; the board flags him a trap (prefers Murray).",
Matthew Golden,"Mixed rookie WR: an ascending GB pass-catcher with upside, but a crowded target tree and rookie variance cap the role.",
Travis Kelce,Bearish-lean: an aging KC TE past his peak (changing of the guard at the position) - name value over current production.,
Romeo Doubs,Bearish: a low-upside complementary WR sharp takes dismiss - a deep dart only.,
Aaron Jones Sr.,"Mixed: still useful MIN volume, but age and a crowded/uncertain backfield cap him to a dart.",
Jacory Croskey-Merritt,Mixed rookie RB: efficient flashes in a muddled WAS backfield - a contingency dart.,
Isaiah Likely,"Mixed / trap: a talented BAL TE with breakout flashes, but stuck behind Andrews and flagged a trap (prefers Mayfield).",
Khalil Shakir,Bullish-lean: a high-floor BUF target earner (strong designed-target volume) - a safe PPR role with a modest ceiling.,
Dallas Goedert,"Bullish sleeper TE: highly efficient (top PHI YPRR, especially without A.J. Brown) - a value TE if healthy and targeted.",
KC Concepcion,Speculative rookie WR: a deep dart in a crowded CLE room - an upside bet only.,
Jake Ferguson,Bullish-lean: a target-secure DAL TE with strong red-zone usage - a steady mid-tier TE value.,
Malik Willis,Bearish: a low-volume backup-caliber QB - a deep dart with no real role barring an injury.,
Jordan Mason,Mixed: a competent MIN backup RB with contingency value behind Jones - a dart unless he wins more work.,
Mark Andrews,"Mixed: a proven red-zone BAL TE, but age and a fibula-recovery flag temper the ceiling.",
Jalen Coker,"Bullish sleeper: elite efficiency (top EPA/target, first-read passer rating) - a strong CAR breakout dart if the volume comes.",
Jayden Higgins,Bullish sleeper rookie WR: HOU coaches are high on him (trending up) - an upside dart behind the established options.,
Tyrone Tracy Jr.,Mixed: an efficient receiving back but a poor fit for the Roman power scheme (Skattebo's the fit); the board still values him over the traps.,
Sam Darnold,"Mixed-bullish: a high passer-rating game-manager in a good SEA scheme, but a low rushing floor caps the QB ceiling.",
Cam Ward,Mixed / trap: a high-pedigree rookie QB on a weak TEN roster; the board flags him a trap (prefers Tracy) - dynasty over 2026.,
C.J. Stroud,"Mixed: a talented young HOU passer with deep-ball upside, but a 2025 step-back and limited rushing temper the outlook.",
Oronde Gadsden II,"Mixed sleeper TE: receiving upside in a multi-TE LAC scheme, but a poor blocker - a usage-dependent dart.",
Jalen McMillan,Mixed: the TB WR3 with spike upside if injuries hit ahead of him - a contingency dart.,
Daniel Jones,"Mixed: a mobile QB with rushing-floor appeal (IND), but accuracy and role questions cap the ceiling - a streamer dart.",
Woody Marks,Mixed rookie RB: a pass-catching HOU back the board likes as a window-value; the standalone role is the question.,
Rashid Shaheed,Bullish sleeper: a deep-threat OTA standout (SEA) with explosive upside - a cheap field-stretcher dart.,
Zach Charbonnet,Bullish: positioned for a lead SEA role with Walker gone to KC - real standalone upside and a board window-winner.,
Bryce Young,Bearish: an inaccurate deep passer capping the CAR offense (the reason McMillan is held back) - a low QB ceiling.,
Omar Cooper Jr.,Speculative rookie WR: a deep NYJ dart - an upside bet behind the established options.,
Jauan Jennings,"Mixed: a reliable SF possession WR with target volume, but a capped ceiling in a crowded offense.",
Kenyon Sadiq,Speculative rookie TE: athletic traits but raw - a deep dynasty/dart bet.,
Brenton Strange,Mixed: a developing JAX receiving TE behind a deep pass-catch group - a deep dart.,
Travis Hunter,"Mixed: rare two-way talent, but uncertain WR snap/usage caps the floor - an upside dart.",
Jalen Nailor,Speculative: a deep MIN field-stretcher behind Jefferson/Addison - dart only.,
Hunter Henry,Bullish value: a target-secure NE TE and board window-winner with a Maye-driven floor - a steady cheap TE.,
Tyler Allgeier,Mixed: an efficient ATL early-down backup - contingency value behind Bijan.,
Antonio Williams,Speculative: a depth WR dart with thin coachspeak - role-dependent.,
Tyjae Spears,Mixed: a TEN committee back battling for the RB2 role - a contingency dart.,
Tre Tucker,Mixed: an ascending LV speed WR with a defined role - upside dart in a weak offense.,
Alvin Kamara,"Mixed: still a useful pass-catching NO back, but age and offense decline cap him - a PPR dart.",
Fernando Mendoza,"Speculative rookie QB - dynasty/dart only, no 2026 role expected.",
Jacoby Brissett,Mixed: the named ARI starter with a decent supporting cast - a streamer if the job holds.,
Denzel Boston,Speculative rookie WR dart - thin signal.,
Jonah Coleman,Mixed: a DEN committee dart in Payton's rotation - contingency only.,
Isaac TeSlaa,Speculative: a deep DET WR dart with developmental upside.,
Brian Robinson Jr.,Mixed: a physical contact-balance back - touchdown-dependent committee value.,
Malik Washington,Mixed: an ascending MIA slot WR - a PPR dart with role-growth upside.,
Dylan Sampson,Bullish sleeper RB: elite receiving efficiency (top YPRR) - a strong CLE pass-down dart with upside.,
Dalton Schultz,Mixed: a target-secure HOU TE with occasional spikes - a low-ceiling streamer.,
Ryan Flournoy,"Speculative: flashed efficiency in limited DAL routes - a deep dart, volume the question.",
Geno Smith,"Mixed: an accurate veteran (NYJ) lifting the WR room, but low rushing caps the QB ceiling.",
De'Zhaun Stribling,Speculative rookie WR dart - thin signal.,
Jerry Jeudy,Bullish value: a window-winner whose usage spikes when Njoku is off the field - an efficient CLE WR at a discount.,
Tank Bigsby,Mixed: a committee/backup RB (PHI) - a contingency dart behind Saquon.,
Tyreek Hill,Mixed: still an elite route-runner but a free agent - upside contingent on landing spot and age.,
Deebo Samuel Sr.,Mixed: a versatile YAC weapon but an aging free agent - role/landing-spot-dependent dart.,
Sean Tucker,Speculative: a TB depth back - contingency dart behind Irving.,
